name,price,image,airflow,color,noise_level,pwm,rpm,size,rating
Corsair RS140 ARGB,18.95,https://cdna.pcpartpicker.com/static/forever/images/product/28fb2efdef67bca916753b0442fe0a06.256p.jpg,14.6 - 95.5 CFM,Black,10 - 36 dB,Yes,330 - 1700 RPM,140 mm,5
Asus TUF Gaming TR120 ARGB 3-Pack,43.99,https://cdna.pcpartpicker.com/static/forever/images/product/bcbf23d68c3de917c0eb50cf2e162b46.256p.jpg,77.4 CFM,Black,29 dB,Yes,2000 RPM,120 mm,5
Lian Li UNI FAN TL FLEX,,https://cdna.pcpartpicker.com/static/forever/images/product/fe9ef75dcf39df2f5b558594c2ce049d.256p.jpg,90.1 CFM,Black,33 dB,Yes,200 - 2600 RPM,120 mm,0
Thermalright TL-S12-S X3 3-Pack,16.37,,47.6 CFM,Black,23 - 23.2 dB,Yes,1500 RPM,120 mm,3.5
BGears b-Blaster,70.26,https://cdna.pcpartpicker.com/static/forever/images/product/c7a2aa88cdeb6dbe80118c492a52d141.256p.jpg,308 CFM,Black,70 dB,No,5200 RPM,140 mm,0
NZXT F120 RGB 3-Pack,25.9,https://cdna.pcpartpicker.com/static/forever/images/product/667a9697bee4ef013405d1c4550f2a16.256p.jpg,13.94 - 50.18 CFM,White,17.2 - 27.5 dB,Yes,500 - 1800 RPM,120 mm,4.5
ARCTIC P12 Silent,4.99,https://cdna.pcpartpicker.com/static/forever/images/product/26033541043d539ea2de7cdeb31208e5.256p.jpg,24.1 CFM,Black,,No,1050 RPM,120 mm,4.5
be quiet! Light Wings PWM high-speed 3-Pack,42.9,https://cdna.pcpartpicker.com/static/forever/images/product/4ae9ee05e9d1f1022f1c2a548a9f2244.256p.jpg,52.3 CFM,Black,31 dB,Yes,2500 RPM,120 mm,4.5
Lian Li UNI FAN TL FLEX 3-Pack,,https://cdna.pcpartpicker.com/static/forever/images/product/ff770028f49d3f51a474ae5b3aaa1cf7.256p.jpg,83.4 CFM,Black,34 dB,Yes,200 - 2300 RPM,120 mm,0
ARCTIC P12,5.99,https://cdna.pcpartpicker.com/static/forever/images/product/26033541043d539ea2de7cdeb31208e5.256p.jpg,56.3 CFM,Black,,No,1800 RPM,120 mm,4.5
ARCTIC P14 Pro,10.88,,110 CFM,Black,25 dB,Yes,400 - 2500 RPM,140 mm,0
Thermalright TL-M12QRW X3 3-Pack,,https://cdna.pcpartpicker.com/static/forever/images/product/b7898ed6bae539b9e00bc603766b4eb8.256p.jpg,47.6 CFM,White,23.2 dB,Yes,1500 RPM,120 mm,5
Lian Li UNI FAN SL V2 120 Reverse,,https://cdna.pcpartpicker.com/static/forever/images/product/f00eaf78eeb39a955822d953baa9b60d.256p.jpg,65.4 CFM,Black,32 dB,Yes,250 - 2000 RPM,120 mm,5
Thermalright TL-S12,,,47.6 CFM,Black,23.2 dB,Yes,1500 RPM,120 mm,4.5
Thermalright TL-M12QR-S X3 3-Pack,21.16,https://cdna.pcpartpicker.com/static/forever/images/product/30713cf4883553293b1ec606718332dd.256p.jpg,47.6 CFM,Black,23.2 dB,Yes,1500 RPM,120 mm,0
NZXT F120P (2024),17.48,https://cdna.pcpartpicker.com/static/forever/images/product/5f172d2a3dee2e85d63d389c98baa0a7.256p.jpg,73.47 CFM,Black,30 dB,Yes,500 - 2000 RPM,120 mm,4.5
be quiet! Pure Wings 3 PWM High-Speed 3-Pack,23.99,https://cdna.pcpartpicker.com/static/forever/images/product/145cff48fe34e309cac25f3a80f0aed3.256p.jpg,72.2 CFM,Black,30.5 dB,Yes,1800 RPM,140 mm,5
Thermalright TL-M12Q,,https://cdna.pcpartpicker.com/static/forever/images/product/ef43b2473686004d17c322083421985b.256p.jpg,68.9 CFM,Black,28.2 dB,Yes,2000 RPM,120 mm,4
DARKROCK F120 3-Pack,17.12,,,Black,,Yes,800 - 1600 RPM,120 mm,3.5
Fractal Design Momentum,19.99,https://cdna.pcpartpicker.com/static/forever/images/product/90ecf5cddaebd25db5b120727c4abb4d.256p.jpg,67.34 CFM,Black,31.3 dB,Yes,350 - 2200 RPM,120 mm,4
Noctua F12 industrialPPC-2000 IP67 PWM,30.95,,71.69 CFM,Brown / Black,29.7 dB,Yes,450 - 2000 RPM,120 mm,4.5
NZXT F140 RGB Core,16.61,,24.85 - 89.48 CFM,White,20 - 32.5 dB,Yes,500 - 1800 RPM,140 mm,4.5
be quiet! Light Wings LX,14.99,https://cdna.pcpartpicker.com/static/forever/images/product/c2b7146245af625597d4645ac094b91f.256p.jpg,48.8 CFM,Black,28.5 dB,Yes,1500 RPM,120 mm,5
Lian Li UNI FAN TL LCD FLEX,,https://cdna.pcpartpicker.com/static/forever/images/product/a1aa000c1ae6d5245f2c5fabcd7c5e0e.256p.jpg,66 CFM,Black,26 dB,Yes,350 - 1900 RPM,120 mm,0
Corsair iCUE LINK LX140-R RGB 2-Pack,73,https://cdna.pcpartpicker.com/static/forever/images/product/61d67eef0e9e18fa1a13d604f7305653.256p.jpg,90 CFM,Black,35.4 dB,Yes,2000 RPM,140 mm,5
Phanteks M25G2-120,4.99,https://cdna.pcpartpicker.com/static/forever/images/product/7aa34a3f9fe8f73bbcadd0bedc72a5ef.256p.jpg,72.72 CFM,Black,35.13 dB,Yes,350 - 2000 RPM,120 mm,4.5
Phanteks D30-120,25.99,https://cdna.pcpartpicker.com/static/forever/images/product/bafe79f2d8eb41c754cb9bfd1eeb0673.256p.jpg,64.3 CFM,Black,30.2 dB,Yes,250 - 2000 RPM,120 mm,4.5
DARKROCK BK3 3-Pack,20.84,,47.8 CFM,Black,32.1 dB,No,1200 RPM,120 mm,0
Thermalright TL-S12W,6.29,,47.6 CFM,White,23.2 dB,Yes,1500 RPM,120 mm,4.5
Thermalright TL-E12W-S V3,,,72.37 CFM,White,27.7 dB,Yes,2000 RPM,120 mm,5
Thermalright TL-M12QR,,,47.6 CFM,Black,23.2 dB,Yes,1500 RPM,120 mm,0
