name,price,image,fan_rpm,noise_level,color,radiator_size,size,rating
ARCTIC Liquid Freezer III 420,190,https://cdna.pcpartpicker.com/static/forever/images/product/8b4c34b830a34ef286b19d1aa70e8d10.256p.jpg,200 - 1700 RPM,Black,Black,420 mm,420 mm,4.5
Cooler Master Hyper 212 EVO,120.72,https://cdna.pcpartpicker.com/static/forever/images/product/ddea57de9797549e80d05fb3acb2e83d.med.256p.jpg,600 - 2000 RPM,9 - 36 dB,,,,4.5
Scythe SHURIKEN 3,31.99,300,2500,300 - 2500 RPM,1.8 - 31.78 dB,Black,,,5
Noctua NH-L9a-AM4,55.47,https://cdna.pcpartpicker.com/static/forever/images/product/c83b5fd9fdf5b659ec8feba8e1c60568.256p.jpg,600 - 2500 RPM,14.8 - 23.6 dB,Brown,,,4.5
be quiet! Dark Rock Pro 4,,https://cdna.pcpartpicker.com/static/forever/images/product/8ab57dc3c0eb346c72ef7a2405e31227.256p.jpg,1500 RPM,12.8 - 24.3 dB,Black,,,4.5
Thermalright Assassin Spirit V2 Plus,,1500,1500 RPM,25.6 dB,Gray,,,5
EK Nucleus AIO CR240 Dark,,https://cdna.pcpartpicker.com/static/forever/images/product/2ad9e2d922fee69541c529c88e1ac4af.256p.jpg,550 - 2300 RPM,36 dB,Black,240 mm,240 mm,4.5
be quiet! Pure Rock Slim 2,24.95,https://cdna.pcpartpicker.com/static/forever/images/product/98bb44b33e99e3c03b12d76609433d62.256p.jpg,13.1,25.4,13.1 - 25.4 dB,Black / Silver,,,4
Noctua NH-D15 G2 LBC,127.99,https://cdna.pcpartpicker.com/static/forever/images/product/4fb7951d92c873fa55c5198c65ad03b6.256p.jpg,1500 RPM,24.8 dB,Brown / Silver,,,4.5
ARCTIC Liquid Freezer III Pro A-RGB,95.99,https://cdna.pcpartpicker.com/static/forever/images/product/2ad83fad5f6a719a1497baf2a9c9cbc8.256p.jpg,400 - 2500 RPM,Black,White,420 mm,420 mm,0
ID-COOLING FX240 PRO,54.99,https://cdna.pcpartpicker.com/static/forever/images/product/1a1f3fcaa2d06c6f0dbe07b5e2bbf809.256p.jpg,500 - 1800 RPM,35.2 dB,Black,240 mm,240 mm,4.5
Montech NX600,25.47,https://cdna.pcpartpicker.com/static/forever/images/product/770c81e754083d72eb22455b44aa5054.256p.jpg,800 - 2000 RPM,34.17 dB,Black,,,4
MSI MAG COREFROZR AA13,22.99,https://cdna.pcpartpicker.com/static/forever/images/product/0ed21ee80972fe926c40effa79147f50.256p.jpg,510 - 2070 RPM,30.11 dB,Black,,,0
