name,price,image,type,frequency_response,microphone,wireless,enclosure_type,color,rating
JBL Quantum One,329.95,https://cdna.pcpartpicker.com/static/forever/images/product/a866eecc5ceed959481a79ea37833731.256p.jpg,Circumaural,20 Hz - 20 kHz,Yes,No,Closed,Black,5
Panasonic RP-HJE125-A,7.89,Earbud,Earbud,false,No,No,Closed,Blue,0
Adesso Xtream H4,12.96,https://cdna.pcpartpicker.com/static/forever/images/product/51f44127847a56fddc6476ff901979c5.256p.jpg,Supra-aural,20 Hz - 20 kHz,Yes,No,Closed,Black,0
Logitech G PRO,119.98,https://cdna.pcpartpicker.com/static/forever/images/product/ca8f01da70a5aa07c7f910759378da67.256p.jpg,Circumaural,20 Hz - 20 kHz,Yes,No,Closed,Black,4
Beyerdynamic DT 770 PRO X Limited Edition,,https://cdna.pcpartpicker.com/static/forever/images/product/134ca7608cf0063dd0498dfeb0a03508.256p.jpg,Circumaural,5 Hz - 40 kHz,No,No,Closed,Black / Gray,5
Razer Kraken Kitty,279.99,https://cdna.pcpartpicker.com/static/forever/images/product/590df3876fa2f75521f718e26036d99e.256p.jpg,Circumaural,20 Hz - 20 kHz,Yes,No,Closed,Pink,3
Sony WH1000XM4,278,https://cdna.pcpartpicker.com/static/forever/images/product/2af4e7c8c1307a160dc0a2ac3a837e63.256p.jpg,Circumaural,20 Hz - 20 kHz,Yes,Yes,Closed,Black,5
Audio-Technica ATH-M50xWH,179,https://cdna.pcpartpicker.com/static/forever/images/product/0326f36a5f3d138b2bcad1c38462d359.256p.jpg,Circumaural,15 Hz - 28 kHz,No,No,Closed,White,5
Audio-Technica ATH-M20X,45,Circumaural,Circumaural,15 Hz - 20 kHz,No,No,Closed,Black / Silver,4
Sony INZONE H9,259.98,https://cdna.pcpartpicker.com/static/forever/images/product/fcad025507e2390073f4a077c464cb59.256p.jpg,Circumaural,5 Hz - 20 kHz,Yes,Yes,Closed,,4
Genius HS-02B,18.17,https://cdna.pcpartpicker.com/static/forever/images/product/25c754ca083c8fe55ac0e573496edf41.256p.jpg,Supra-aural,20 Hz - 20 kHz,Yes,No,Closed,Black / Silver,0
Sennheiser HD 598,498.88,Circumaural,Circumaural,12 Hz - 38.5 kHz,No,No,Open,Brown,4.5
Beyerdynamic DT1990 Pro,399.95,Circumaural,Circumaural,5 Hz - 40 kHz,No,No,Open,Black,5
Sennheiser MOMENTUM 4,179,https://cdna.pcpartpicker.com/static/forever/images/product/89c198b84f1a88ba658303ddc36db373.256p.jpg,Circumaural,6 Hz - 22 kHz,Yes,Yes,Closed,White,0
Razer Kraken V3 Pro,235.97,https://cdna.pcpartpicker.com/static/forever/images/product/f37538fee88baa3ffbb73c14b7d98ac3.256p.jpg,Circumaural,20 Hz - 20 kHz,Yes,Yes,Closed,Black,5
Logitech H110,13.94,Supra-aural,Supra-aural,20 Hz - 20 kHz,Yes,No,Closed,Black / Silver,5
Asus TUF Gaming H1,39.95,https://cdna.pcpartpicker.com/static/forever/images/product/bdeb6db19ea1a3540c8d321accf0c517.256p.jpg,Circumaural,20 Hz - 20 kHz,Yes,No,Closed,Black,0
Adesso Xtream H5,17.89,https://cdna.pcpartpicker.com/static/forever/images/product/3db0ff7625db91b792b461747e5a38a7.256p.jpg,Circumaural,20 Hz - 20 kHz,Yes,No,Closed,Black,0
Corsair HS35 v3,45.46,https://cdna.pcpartpicker.com/static/forever/images/product/bef0575578cad0287fbdb842ea9d32f3.256p.jpg,Circumaural,20 Hz - 20 kHz,Yes,No,Closed,White,0
Logitech G335,69.98,https://cdna.pcpartpicker.com/static/forever/images/product/fc97a7e957d48182c8685ab9dde51dcd.256p.jpg,Circumaural,20 Hz - 20 kHz,Yes,No,Closed,Black / Blue,3.5
Audeze LCD-GX,899,Circumaural,Circumaural,10 Hz - 50 kHz,Yes,No,Open,Black / Red,0
SteelSeries Arctis Nova 7X,153.22,https://cdna.pcpartpicker.com/static/forever/images/product/7c5583823c6e919356c609ec9cee2778.256p.jpg,Circumaural,20 Hz - 22 kHz,Yes,Yes,Closed,Black / Green,5
HP HyperX Cloud Stinger Core - Wireless,59.99,https://cdna.pcpartpicker.com/static/forever/images/product/9f7728301d548a8120f16f708c55e6ad.256p.jpg,Circumaural,10 Hz - 21 kHz,Yes,Yes,Closed,Black,0
Audeze Maxwell for Xbox Series X|S,329,https://cdna.pcpartpicker.com/static/forever/images/product/1df40b8e7169afdba5d4f75aef3123c5.256p.jpg,Circumaural,10 Hz - 50 kHz,Yes,Yes,Closed,Black / Green,4.5
Audio-Technica ATH-M50xSTS StreamSet USB,165,https://cdna.pcpartpicker.com/static/forever/images/product/632358a823f2a125bd815ed135360af8.256p.jpg,Circumaural,15 Hz - 28 kHz,Yes,No,Closed,Black / Silver,5
